PMC4384243	NO-OA	idIsNotOpenAccess	-	-
PMC4311159	NO-OA	idIsNotOpenAccess	-	-
PMC4311155	NO-OA	idIsNotOpenAccess	-	-
PMC4311161	NO-OA	idIsNotOpenAccess	-	-
PMC4311171	NO-OA	idIsNotOpenAccess	-	-
PMC4384259	NO-OA	idIsNotOpenAccess	-	-
PMC4384260	NO-OA	idIsNotOpenAccess	-	-
PMC4311166	NO-OA	idIsNotOpenAccess	-	-
PMC4311169	NO-OA	idIsNotOpenAccess	-	-
PMC4311165	NO-OA	idIsNotOpenAccess	-	-
PMC4384246	NO-OA	idIsNotOpenAccess	-	-
PMC4384249	NO-OA	idIsNotOpenAccess	-	-
PMC4384244	NO-OA	idIsNotOpenAccess	-	-
PMC4384250	NO-OA	idIsNotOpenAccess	-	-
PMC4384257	NO-OA	idIsNotOpenAccess	-	-
PMC4384248	NO-OA	idIsNotOpenAccess	-	-
PMC7415692	NO-OA	idIsNotOpenAccess	-	-
PMC7415695	NO-OA	idIsNotOpenAccess	-	-
PMC7548209	NO-OA	idIsNotOpenAccess	-	-
PMC11148759	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c1/94/PMC11148759.tar.gz	-
PMC12712161	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/ee/72/PMC12712161.tar.gz	-
PMC5933255	NO-OA	idIsNotOpenAccess	-	-
PMC5847872	NO-OA	idIsNotOpenAccess	-	-
PMC13208154	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/ac/66/PMC13208154.tar.gz	-
PMC11084888	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/71/d3/PMC11084888.tar.gz	-
PMC10889463	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/0f/2d/PMC10889463.tar.gz	-
PMC11619196	OA	CC BY-NC	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/41/0b/PMC11619196.tar.gz	-
PMC10122126	NO-OA	idIsNotOpenAccess	-	-
PMC11294798	OA	CC BY-NC	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/ac/d7/PMC11294798.tar.gz	-
PMC11565346	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a3/9c/PMC11565346.tar.gz	-
PMC11681344	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/10/ed/PMC11681344.tar.gz	-
PMC13059857	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/aa/62/PMC13059857.tar.gz	-
PMC11925351	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/83/c8/PMC11925351.tar.gz	-
PMC10989319	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/dc/85/PMC10989319.tar.gz	-
PMC7918393	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/65/4c/PMC7918393.tar.gz	-
PMC10879061	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/54/74/PMC10879061.tar.gz	-
PMC9713646	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/ac/a2/PMC9713646.tar.gz	-
PMC8010499	OA	CC BY-NC	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/bc/ae/PMC8010499.tar.gz	-
PMC6509756	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c9/97/PMC6509756.tar.gz	-
PMC5906311	NO-OA	idIsNotOpenAccess	-	-
PMC5434633	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/20/4f/PMC5434633.tar.gz	-
PMC5347488	NO-OA	idIsNotOpenAccess	-	-
PMC11729723	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/4c/14/PMC11729723.tar.gz	-
